order_id,customer_id,order_date,country,channel,amount,status
68,1032,2026-01-06,Italy,Online,708.20,Completed
69,1002,2026-01-07,Italy,Marketplace,72.79,Completed
70,1009,2026-01-08,France,Marketplace,822.70,Pending
71,1016,2026-01-09,Netherlands,Online,434.59,Cancelled
72,1023,2026-01-10,Netherlands,Store,144.70,Completed
73,1030,2026-01-11,Netherlands,Partner,521.09,Cancelled
74,1000,2026-01-12,Spain,Partner,572.85,Cancelled
75,1007,2026-01-13,France,Store,166.42,Cancelled
76,1014,2026-01-14,Italy,Partner,250.23,Cancelled
77,1021,2026-01-15,Spain,Marketplace,291.87,Completed
78,1028,2026-01-16,Spain,Partner,724.03,Completed
79,1035,2026-01-17,Netherlands,Marketplace,474.24,Completed
80,1005,2026-01-18,Spain,Partner,1066.72,Completed
81,1012,2026-01-19,Italy,Partner,266.19,Cancelled
82,1019,2026-01-20,France,Online,935.23,Completed
83,1026,2026-01-21,Portugal,Marketplace,704.39,Pending
84,1033,2026-01-22,Germany,Online,276.99,Completed
85,1003,2026-01-23,France,Partner,351.37,Completed
86,1010,2026-01-24,Italy,Online,664.06,Completed
87,1017,2026-01-25,Netherlands,Partner,777.04,Cancelled
88,1024,2026-01-26,Portugal,Online,422.57,Completed
89,1031,2026-01-27,France,Store,255.15,Cancelled
90,1001,2026-01-28,France,Online,713.23,Completed
91,1008,2026-01-29,Netherlands,Partner,39.46,Cancelled
92,1015,2026-01-30,Germany,Store,67.97,Completed
93,1022,2026-01-31,Netherlands,Partner,181.94,Completed
94,1029,2026-01-01,Spain,Online,857.52,Pending
95,1036,2026-01-02,Spain,Online,129.06,Pending
96,1006,2026-01-03,Portugal,Marketplace,648.69,Pending
97,1013,2026-01-04,Germany,Partner,1009.79,Completed
98,1020,2026-01-05,Germany,Marketplace,792.82,Completed
99,1027,2026-01-06,Spain,Online,135.50,Cancelled
100,1034,2026-01-07,Italy,Online,833.03,Completed
